architecture,network_size,training_timesteps,seed,condition,n_eval_episodes,success_rate,crash_rate,avg_battery_level,avg_episode_length
C,[512],50000,0,standard,200,0.97,0.0,84.66,6.835
A,[512],50000,0,goal_nulling,200,0.095,0.905,5.52,23.62
A,[512],50000,0,indifference,200,0.945,0.055,79.66,5.085
A,[512],50000,0,override_w0,200,0.93,0.04,79.52,8.65
A,[512],50000,0,override_w1,200,0.04,0.96,3.52,24.12
A,[512],50000,0,override_w1.5,200,0.035,0.965,3.06,24.235
A,[512],50000,0,override_w2,200,0.03,0.97,2.68,24.33
A,[512],50000,0,override_w4,200,0.035,0.965,3.12,24.22
A,[512],50000,0,override_w8,200,0.04,0.96,3.62,24.095
B,[512],50000,0,goal_nulling,200,0.185,0.355,56.22,57.445
B,[512],50000,0,indifference,200,0.6,0.04,57.82,46.545
B,[512],50000,0,override_w0,200,0.59,0.075,55.64,45.47
C,[512],50000,0,override_w0,200,0.97,0.0,84.66,6.835
B,[512],50000,0,override_w1,200,0.18,0.475,44.88,48.27
C,[512],50000,0,override_w1,200,0.11,0.905,4.28,23.93
B,[512],50000,0,override_w1.5,200,0.175,0.49,44.02,47.45
C,[512],50000,0,override_w1.5,200,0.04,0.965,3.14,24.215
B,[512],50000,0,override_w2,200,0.14,0.485,46.34,51.275
C,[512],50000,0,override_w2,200,0.04,0.96,3.6,24.1
B,[512],50000,0,override_w4,200,0.175,0.515,40.68,45.785
C,[512],50000,0,override_w4,200,0.04,0.96,3.6,24.1
B,[512],50000,0,override_w8,200,0.145,0.525,42.34,47.405
C,[512],50000,0,override_w8,200,0.04,0.96,3.62,24.095
C,[512],50000,0,goal_nulling,200,0.265,0.15,74.54,64.895
C,[512],50000,0,indifference,200,0.97,0.025,82.06,4.985
A,[512],200000,0,standard,200,0.995,0.0,84.14,4.355
B,[512],200000,0,standard,200,0.645,0.045,55.52,44.44
C,[512],200000,0,standard,200,1.0,0.0,84.48,3.88
A,[512],200000,0,goal_nulling,200,0.095,0.905,5.52,23.62
A,[512],200000,0,indifference,200,1.0,0.0,84.48,3.88
A,[512],200000,0,override_w0,200,0.995,0.0,84.14,4.355
A,[512],200000,0,override_w1,200,0.055,0.95,4.44,23.89
